"","id","pd","mpd","mntd","retrieved_taxa","proportion_missing"
"9170","8629a2307ffffff",1935.50007799936,343.86734546144,139.409058615207,13,0.0769230769230769
"9171","862812b97ffffff",1287.467706,237.995735333333,214.872188166667,6,0.166666666666667
"9172","86298545fffffff",4025.61574900087,325.428746053196,116.45345072101,43,0.0232558139534884
"9173","862802a8fffffff",6283.92260516866,490.153078114099,84.8020096480914,72,0.0138888888888889
"9174","86283461fffffff",6144.64048200023,281.083674791501,68.8837326175859,102,0.00980392156862745
"9175","8628312b7ffffff",1872.25594700305,460.22556996505,262.750149000757,8,0.125
"9176","86485b677ffffff",3388.07759161214,276.601293521522,56.660387841245,54,0.0185185185185185
"9177","8629ad5b7ffffff",NA,NA,NA,1,1
"9178","8629aa24fffffff",10256.2367706031,535.883772798021,81.2244345055111,127,0.0078740157480315
"9179","8629a0817ffffff",6787.78272800729,340.449287276583,73.692333742782,101,0.0099009900990099
"9180","86281440fffffff",2147.05150000267,513.904202121657,153.628622667362,12,0.0833333333333333
"9181","8628110a7ffffff",1750.21994399999,311.69406722222,224.986616888888,9,0.111111111111111
"9182","86298d3a7ffffff",5658.22690698881,417.198421466723,97.1118480319439,61,0.0163934426229508
"9183","8629134afffffff",1761.60451600048,287.79896564454,192.898713700244,10,0.1
"9184","862832b2fffffff",5198.9227985187,267.060421594635,53.911836466072,101,0.0099009900990099
"9185","8629abac7ffffff",1417.9035690002,228.645301944489,134.5458823334,9,0.111111111111111
"9186","8629a875fffffff",NA,NA,NA,0,Inf
"9187","8629a208fffffff",1189.42846400174,299.528257800695,188.160797801209,5,0.2
"9188","862815c87ffffff",2302.8348750019,384.413156000272,194.973715928664,14,0.0714285714285714
"9189","86281291fffffff",NA,NA,NA,0,Inf
"9190","862802817ffffff",1933.7771450037,359.541740180057,140.453922923716,13,0.0769230769230769
"9191","8628343a7ffffff",8132.10022700662,442.846852792903,106.171449555719,90,0.0111111111111111
"9192","8629a6c6fffffff",1339.29585800013,341.442494600053,289.236458800053,5,0.2
"9193","8629a3907ffffff",3478.74188301354,325.163599145397,92.0327087906416,38,0.0263157894736842
"9194","8629a059fffffff",9319.47150570254,329.07248257506,37.4223154868172,235,0.00425531914893617
"9195","862814197ffffff",2765.42870299961,429.509668896069,130.469909772955,22,0.0454545454545455
"9196","86298d12fffffff",4935.40683100678,484.269839703331,97.7575284891856,45,0.0222222222222222
"9197","8629b5287ffffff",877.40289099992,163.186736666613,131.35621500004,3,0.333333333333333
"9198","8628328b7ffffff",1959.68946099953,237.840489789425,112.149057420988,19,0.0526315789473684
"9199","8629aebb7ffffff",3576.97552500324,291.560961962498,88.1097600233559,43,0.0232558139534884
"9200","8629ab84fffffff",2527.60842100029,280.551415098839,124.030987347838,23,0.0434782608695652
"9201","8629a84e7ffffff",5836.09251617088,362.451874364642,89.1568207232855,70,0.0142857142857143
"9202","862815a0fffffff",4240.09716500361,526.78463262135,170.497119222491,27,0.037037037037037
"9203","86280259fffffff",5431.73331300524,410.40770475797,83.3482891775806,62,0.0161290322580645
"9204","86485b187ffffff",1760.34126100005,311.298093615392,122.84294807684,13,0.0769230769230769
"9205","8629ad0c7ffffff",5759.00854857041,263.779556753151,37.6394153161579,140,0.00714285714285714
"9206","8629a9d5fffffff",2275.19464000043,290.712832538057,117.069922947413,19,0.0526315789473684
"9207","8629a368fffffff",NA,NA,NA,1,1
"9208","8629a0327ffffff",2465.91095100015,245.172847226611,82.4608941379377,29,0.0344827586206897
"9209","862810bb7ffffff",1701.61805000002,533.129356857149,210.936567142863,7,0.142857142857143
"9210","862989b4fffffff",8870.29273999392,428.346186361725,71.0001375363408,123,0.00813008130081301
"9211","8629b500fffffff",3796.10605659846,297.95055458728,53.5625567895776,60,0.0166666666666667
"9212","864859697ffffff",2139.20715600393,323.328336044518,162.561113858012,14,0.0714285714285714
"9213","8629a826fffffff",NA,NA,NA,0,Inf
"9214","8629a1b9fffffff",6755.16412702945,354.663052139205,65.2956757906077,114,0.0087719298245614
"9215","862815797ffffff",2087.52019899793,404.099715635987,226.502074544512,11,0.0909090909090909
"9216","862984cf7ffffff",5388.10119561843,340.21973641004,56.2062805547158,87,0.0114942528735632
"9217","86298198fffffff",2575.66804461137,398.332342047274,138.627996080252,18,0.0555555555555556
"9218","862802327ffffff",4420.25125100313,366.572672090954,114.979455651239,43,0.0232558139534884
"9219","862830b4fffffff",5830.02567600224,299.825287407041,71.2249873111097,90,0.0111111111111111
"9220","8629a9ae7ffffff",NA,NA,NA,0,Inf
"9221","8629a3417ffffff",3570.74308900154,337.9414363295,106.90778665705,35,0.0285714285714286
"9222","8629a00afffffff",8806.99672388194,311.082960786797,52.267756673369,173,0.00578034682080925
"9223","862813ca7ffffff",1522.5798090007,341.235039035889,167.3229986253,8,0.125
"9224","8629b1a2fffffff",6130.78613606832,328.531948466478,39.2372104758255,137,0.0072992700729927
"9225","8629ae6c7ffffff",4185.83358099997,497.853702870869,100.499309567537,37,0.027027027027027
"9226","8629ab35fffffff",1087.98854300003,248.507437666682,228.635403000015,4,0.25
"9227","8629a4c8fffffff",9414.05921667177,347.232787772142,40.0019161913958,199,0.0050251256281407
"9228","86281551fffffff",5074.34102401948,341.476212716265,110.12511356639,53,0.0188679245283019
"9229","8628020afffffff",5373.56774100784,386.270675188245,107.139838035339,57,0.0175438596491228
"9230","8628308d7ffffff",9526.94942256788,285.66627597153,40.7874426056408,258,0.00387596899224806
"9231","8629a986fffffff",3153.42107400002,285.314916041,92.4853536470165,34,0.0294117647058824
"9232","8629a6507ffffff",2702.43984161624,285.752521018939,68.1675609202982,32,0.03125
"9233","8629a319fffffff",1890.98100900034,305.496577257633,155.765389833448,12,0.0833333333333333
"9234","862813a2fffffff",1095.959703,731.656578,731.656578,2,0.5
"9235","8628106c7ffffff",1251.83790800056,316.356012600222,229.396620400122,5,0.2
"9236","862806c8fffffff",1814.767028003,372.617227636909,157.119203727818,11,0.0909090909090909
"9237","86283214fffffff",3841.96256200822,255.166705730932,60.3447563653257,63,0.0158730158730159
"9238","8629ae44fffffff",2830.68881900078,770.207409908431,165.302613875055,16,0.0625
"9239","8629ab0e7ffffff",1446.65033100023,233.935176333385,140.402472111115,9,0.111111111111111
"9240","8629a16afffffff",2045.69212075364,253.527706931549,116.751215389546,18,0.0555555555555556
"9241","8628152a7ffffff",4606.92283600064,314.652324744258,100.483124703724,54,0.0185185185185185
"9242","862984807ffffff",2132.44827100222,253.524445891977,80.7154930912502,22,0.0454545454545455
"9243","862836d2fffffff",967.732125,316.263327333333,158.938092666667,3,0.333333333333333
"9244","86283065fffffff",1668.58615800081,226.560863581061,79.851243266766,15,0.0666666666666667
"9245","8629ac95fffffff",6781.97515553094,287.399726880616,35.7442734187372,165,0.00606060606060606
"9246","8629a628fffffff",3754.14781648635,297.62245593276,45.3192681990783,60,0.0166666666666667
"9247","862816b1fffffff",1193.94366800006,355.401077200022,129.925686800022,5,0.2
"9248","86281044fffffff",1986.47203800722,285.949491897909,93.8721443533629,17,0.0588235294117647
"9249","8629a479fffffff",2324.17698199993,219.882759738091,80.9967991428707,28,0.0357142857142857
"9250","8629a1437ffffff",2683.94352900032,290.009511866688,72.4444380644659,31,0.032258064516129
"9251","86281502fffffff",1997.4325710025,396.681319467167,226.02645600072,10,0.1
"9252","862811cc7ffffff",1035.96640500002,157.473637619053,76.6806865714275,7,0.142857142857143
"9253","86291a79fffffff",1848.81422400006,237.021668038103,103.0028061334,15,0.0666666666666667
"9254","862836ab7ffffff",3918.36383489741,285.490128621119,77.9850735849712,54,0.0185185185185185
"9255","86283374fffffff",985.9379999998,256.6855433332,254.9276286666,3,0.333333333333333
"9256","8629ac6e7ffffff",1167.85659,269.5926624,177.8295292,5,0.2
"9257","8629a6017ffffff",1512.3458119998,308.867434380895,236.012178142771,7,0.142857142857143
"9258","8629a2cafffffff",832.181965000264,204.101100000264,204.101100000264,2,0.5
"9259","86298916fffffff",1788.89438352014,338.722720382571,152.590627916385,11,0.0909090909090909
"9260","86280679fffffff",2157.95282200331,532.107625455147,200.011598454846,11,0.0909090909090909
"9261","862831c5fffffff",2498.41732499941,342.141393248301,152.307850944258,18,0.0555555555555556
"9262","8629a4527ffffff",10420.6868585026,299.938288447978,44.7861539623782,267,0.00374531835205993
"9263","862814db7ffffff",4763.76840999518,329.989180716632,69.1248576283883,70,0.0142857142857143
"9264","862811a4fffffff",1427.202385,456.744999,289.8599776,5,0.2
"9265","86298dd4fffffff",1861.407228,514.352511678571,185.957155375,8,0.125
"9266","862984317ffffff",1978.74010284516,272.917587224043,50.903695668784,23,0.0434782608695652
"9267","8628334d7ffffff",1928.05111200019,217.611601800018,88.6166146667105,21,0.0476190476190476
"9268","86283016fffffff",930.35255000001,219.628576666673,180.813695666677,3,0.333333333333333
"9269","8629ac46fffffff",2263.36452400103,531.217212444674,340.327377889041,9,0.111111111111111
