"","x"
"281","Baccharis_brachyphylla"
"282","Baccharis_salicina"
"283","Baccharis_sarothroides"
"284","Baccharis_sergiloides"
"285","Bahiopsis_parishii"
"286","Baileya_multiradiata"
"287","Baileya_pauciradiata"
"288","Baileya_pleniradiata"
"289","Balsamorhiza_deltoidea"
"290","Balsamorhiza_hookeri"
"291","Balsamorhiza_macrolepis"
"292","Balsamorhiza_sagittata"
"293","Bidens_cernua"
"294","Bidens_frondosa"
"295","Bidens_laevis"
"296","Blepharipappus_scaber"
"297","Brickellia_atractyloides"
"298","Brickellia_californica"
"299","Brickellia_desertorum"
"300","Brickellia_frutescens"
"301","Brickellia_grandiflora"
"302","Brickellia_greenei"
"303","Brickellia_incana"
"304","Brickellia_longifolia"
"305","Brickellia_microphylla"
"306","Brickellia_nevinii"
"307","Calycadenia_spicata"
"308","Calycoseris_parryi"
"309","Calycoseris_wrightii"
"310","Centromadia_parryi"
"311","Centromadia_pungens"
"312","Chaenactis_alpigena"
"313","Chaenactis_artemisiifolia"
"314","Chaenactis_carphoclinia"
"315","Chaenactis_douglasii"
"316","Chaenactis_fremontii"
"317","Chaenactis_macrantha"
"318","Chaenactis_nevadensis"
"319","Chaenactis_santolinoides"
"320","Chaenactis_stevioides"
"321","Chaenactis_suffrutescens"
"322","Chaetadelpha_wheeleri"
"323","Chaetopappa_ericoides"
"324","Chrysothamnus_greenei"
"325","Chrysothamnus_humilis"
"326","Chrysothamnus_viscidiflorus"
"327","Cirsium_andersonii"
"328","Cirsium_arizonicum"
"329","Cirsium_brevistylum"
"330","Cirsium_cymosum"
"331","Cirsium_douglasii"
"332","Cirsium_mohavense"
"333","Cirsium_neomexicanum"
"334","Cirsium_occidentale"
"335","Cirsium_scariosum"
"336","Cirsium_undulatum"
"337","Corethrogyne_filaginifolia"
"338","Crepis_acuminata"
"339","Crepis_bakeri"
"340","Crepis_intermedia"
"341","Crepis_modocensis"
"342","Crepis_monticola"
"343","Crepis_occidentalis"
"344","Crepis_pleurocarpa"
"345","Crepis_runcinata"
"346","Crocidium_multicaule"
"347","Cuniculotinus_gramineus"
"348","Deinandra_lobbii"
"349","Deinandra_pallida"
"350","Dicoria_canescens"
"351","Dieteria_canescens"
"352","Dimeresia_howellii"
"353","Eatonella_nivea"
"354","Eclipta_prostrata"
"355","Encelia_farinosa"
"356","Encelia_frutescens"
"357","Encelia_virginensis"
"358","Ericameria_arborescens"
"359","Ericameria_bloomeri"
"360","Ericameria_cuneata"
"361","Ericameria_discoidea"
"362","Ericameria_ericoides"
"363","Ericameria_greenei"
"364","Ericameria_linearifolia"
"365","Ericameria_nana"
"366","Ericameria_nauseosa"
"367","Ericameria_paniculata"
"368","Ericameria_parryi"
"369","Ericameria_pinifolia"
"370","Ericameria_suffruticosa"
"371","Ericameria_teretifolia"
"372","Erigeron_algidus"
"373","Erigeron_aphanactis"
"374","Erigeron_argentatus"
"375","Erigeron_barbellulatus"
"376","Erigeron_bloomeri"
"377","Erigeron_breweri"
"378","Erigeron_canadensis"
"379","Erigeron_compactus"
"380","Erigeron_compositus"
"381","Erigeron_coulteri"
"382","Erigeron_divergens"
"383","Erigeron_eatonii"
"384","Erigeron_elegantulus"
"385","Erigeron_filifolius"
"386","Erigeron_flagellaris"
"387","Erigeron_foliosus"
"388","Erigeron_glacialis"
"389","Erigeron_inornatus"
"390","Erigeron_lassenianus"
"391","Erigeron_linearis"
"392","Erigeron_lonchophyllus"
"393","Erigeron_nivalis"
"394","Erigeron_pygmaeus"
"395","Erigeron_tener"
"396","Erigeron_vagus"
"397","Eriophyllum_ambiguum"
"398","Eriophyllum_confertiflorum"
"399","Eriophyllum_lanatum"
"400","Eriophyllum_multicaule"
"401","Eriophyllum_pringlei"
"402","Eriophyllum_wallacei"
"403","Eurybia_integrifolia"
"404","Eurybia_merita"
"405","Eurybia_radulina"
"406","Euthamia_occidentalis"
"407","Geraea_canescens"
"408","Glyptopleura_setulosa"
"409","Gnaphalium_palustre"
"410","Grindelia_hirsutula"
"411","Gutierrezia_californica"
"412","Gutierrezia_microcephala"
"413","Gutierrezia_sarothrae"
"414","Hazardia_squarrosa"
"415","Hazardia_whitneyi"
"416","Hecastocleis_shockleyi"
"417","Helenium_autumnale"
"418","Helenium_bigelovii"
"419","Helenium_puberulum"
"420","Helianthella_californica"
"421","Helianthella_castanea"
"422","Helianthus_annuus"
"423","Helianthus_bolanderi"
"424","Helianthus_cusickii"
"425","Helianthus_gracilentus"
"426","Helianthus_nuttallii"
"427","Helianthus_petiolaris"
"428","Hemizonella_minima"
"429","Heterotheca_grandiflora"
"430","Heterotheca_oregona"
"431","Heterotheca_villosa"
"432","Hieracium_albiflorum"
"433","Hieracium_bolanderi"
"434","Hieracium_greenei"
"435","Hieracium_horridum"
"436","Hieracium_scouleri"
"437","Hieracium_triste"
"438","Holocarpha_heermannii"
"439","Holocarpha_obconica"
"440","Hulsea_algida"
"441","Hulsea_brevifolia"
"442","Hulsea_heterochroma"
"443","Hulsea_vestita"
"444","Hymenopappus_filifolius"
"445","Hymenothrix_wrightii"
"446","Hymenoxys_cooperi"
"447","Hymenoxys_hoopesii"
"448","Hymenoxys_lemmonii"
"449","Hymenoxys_odorata"
"450","Ionactis_alpina"
"451","Isocoma_acradenia"
"452","Iva_axillaris"
"453","Jensia_rammii"
"454","Kyhosia_bolanderi"
"455","Lactuca_biennis"
"456","Laennecia_coulteri"
"457","Lagophylla_ramosissima"
"458","Lasthenia_californica"
"459","Lasthenia_coronaria"
"460","Lasthenia_debilis"
"461","Lasthenia_glaberrima"
"462","Lasthenia_glabrata"
"463","Layia_carnosa"
